id,rank,name,symbol,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr
bitcoin,1,Bitcoin,BTC,19750128.0000000000000000,21000000.0000000000000000,1110156135171.2100230345527152,19910171312.3688021847319432,56210.0729256645842009,-3.1314113566421251
ethereum,2,Ethereum,ETH,120315124.3161649000000000,,285864752460.2565514990816411,9628916940.4765882301061349,2375.9668959744347305,-3.2790837353390180
tether,3,Tether,USDT,118154769247.3828700000000000,,118221608539.0301620055270369,14721246864.5832184648766494,1.0005656927102735,0.0120275155480240
binance-coin,4,BNB,BNB,166801148.0000000000000000,166801148.0000000000000000,83663256669.0765999674125100,205987279.4794320241684780,501.5748253068174325,-1.8207214270314039
solana,5,Solana,SOL,466848005.7087532000000000,,60325188468.0074987180912876,645842128.0143536891209977,129.2180489802538473,-3.5023170234367019
usd-coin,6,USDC,USDC,34913655693.4286900000000000,,34938638583.7811923510800936,1214458635.7591924982272243,1.0007155621448488,0.0172835394598320
xrp,7,XRP,XRP,45404028640.0000000000000000,100000000000.0000000000000000,24728450348.8753414384886720,417164116.8476857174264889,0.5446311944022098,-2.2186751776856116
steth,8,Lido Staked ETH,STETH,9805435.2991016500000000,,23287310762.9079665441113758,390455.9591203957376602,2374.9390060267383540,-3.0506088453747566
dogecoin,9,Dogecoin,DOGE,145834656383.7052300000000000,,14291541713.5790177688392511,191709960.5544679204879046,0.0979982541048170,-0.1760239372450560
tron,10,TRON,TRX,86741470277.0926800000000000,,13047572654.1314511097411282,144664704.4827764891468469,0.1504190857320198,0.3422974564081191
cardano,11,Cardano,ADA,35960643044.1100000000000000,45000000000.0000000000000000,11603693641.5152763940033866,137907608.3158335969781886,0.3226775902556016,-0.4039380242453885
avalanche,12,Avalanche,AVAX,405204657.0968190400000000,715748719.0000000000000000,8689085983.4502796557085464,63541284.1676613926556552,21.4436972311848861,-2.3683001214262388
wrapped-bitcoin,13,Wrapped Bitcoin,WBTC,153381.8492384300000000,,8614062226.5037309651307868,13943868.4230702158635213,56160.8969332041909949,-3.0891013423539200
shiba-inu,14,Shiba Inu,SHIB,589269830334280.1000000000000000,,7786223999.7244643442508542,60532572.0818962803559472,0.0000132133423415,-1.6455220444661038
chainlink,15,Chainlink,LINK,608099970.4527867000000000,,6093121412.1941334660665538,96136116.0436042517285767,10.0199337415807482,-3.0901925044571904
bitcoin-cash,16,Bitcoin Cash,BCH,19756746.8750000000000000,21000000.0000000000000000,6071033183.9642568556112622,66414753.7482033562567024,307.2891110249777321,-2.5032292800281779
polkadot,17,Polkadot,DOT,1409016931.1420100000000000,,5686757663.3594866817324869,43229196.7760515954790620,4.0359753936741998,-2.8574651630096504
multi-collateral-dai,18,Multi Collateral DAI,DAI,5365382702.6648720000000000,,5372124816.5750658082789130,14151279.3335438010408112,1.0012565951552431,-0.0853394290239351
unus-sed-leo,19,UNUS SED LEO,LEO,925556747.9000000000000000,,5093910408.9524195906602342,2320089.5088646028510642,5.5036176015247218,-3.5133775801993322
litecoin,20,Litecoin,LTC,74941756.1066697000000000,84000000.0000000000000000,4915678167.5913078439023850,253833757.3313967127893818,65.5933143679538104,0.2678301000233097
near-protocol,21,NEAR Protocol,NEAR,1122289225.0000000000000000,,4208511590.4506033322275400,57335700.2378089710277489,3.7499349514387464,-3.2100117233472098
uniswap,22,Uniswap,UNI,600210149.7100000000000000,,3769616612.9725056700820297,50605419.3266668172040789,6.2804946147509320,-2.5676564973168667
internet-computer,23,Internet Computer,ICP,469835628.5352002000000000,,3387765061.7137003288959626,23638803.3611954285175939,7.2105324840427425,-4.9949747275907689
monero,24,Monero,XMR,18446744.0737095500000000,,3164347449.8931801160301889,43631603.8489280455270481,171.5396189836576034,-0.6411875949425207
fetch,25,Artificial Superintelligence Alliance,FET,2520000000.0000000000000000,2630547141.0000000000000000,2722531688.7652754640000000,72002318.4240774741209325,1.0803697177639982,-4.8316770595147663
stellar,26,Stellar,XLM,29538284473.6260220000000000,50001806812.0000000000000000,2661646470.3237525752268079,26980120.7742386816966622,0.0901083633580775,-1.9682878874267734
